Date,Unemployment_Rate_SA,Total_Nonfarm_Employment_SA,Avg_Weekly_Hours_Private_SA,CPI_U_Ex_Food_Energy_U,Imports_All_Commodities_U,Exports_All_Commodities_U,Output_Per_Hour_NF
2020-01-01,3.6,152031.0,28.43,266.004,125.2,125.8,
2020-02-01,3.5,152292.0,28.54,267.268,124.3,124.3,
2020-03-01,4.4,150895.0,28.74,267.312,121.3,122.5,-1.8
2020-04-01,14.8,130424.0,30.04,266.089,118.2,118.2,
2020-05-01,13.2,133040.0,29.72,265.799,119.0,118.2,
2020-06-01,11.0,137671.0,29.38,266.302,120.6,120.3,20.9
2020-07-01,10.2,139255.0,29.39,267.703,122.1,121.5,
2020-08-01,8.4,140819.0,29.5,268.756,123.2,122.1,
2020-09-01,7.8,141770.0,29.51,269.054,123.4,122.8,6.6
2020-10-01,6.9,142461.0,29.55,269.328,123.3,123.0,
2020-11-01,6.7,142731.0,29.64,269.473,123.4,124.0,
2020-12-01,6.7,142548.0,29.91,269.226,124.6,125.5,-3.0
2021-01-01,6.4,142913.0,29.92,269.755,126.5,128.9,
2021-02-01,6.2,143422.0,30.07,270.696,128.0,131.0,
2021-03-01,6.1,144246.0,30.04,271.713,129.9,134.3,3.0
2021-04-01,6.1,144611.0,30.23,273.968,131.1,135.9,
2021-05-01,5.8,145032.0,30.41,275.893,132.8,139.0,
2021-06-01,5.9,145828.0,30.55,278.218,134.2,140.6,0.1
2021-07-01,5.4,146759.0,30.66,279.146,134.6,142.1,
2021-08-01,5.1,147246.0,30.79,279.507,134.3,142.4,
2021-09-01,4.7,147712.0,30.96,279.884,134.9,142.8,-2.3
2021-10-01,4.5,148569.0,31.15,281.617,136.9,145.5,
2021-11-01,4.2,149206.0,31.25,282.754,137.9,146.5,
2021-12-01,3.9,149781.0,31.41,283.908,137.4,144.2,2.9
2022-01-01,4.0,150006.0,31.62,285.996,140.1,148.2,
2022-02-01,3.8,150875.0,31.66,288.059,142.6,153.0,
2022-03-01,3.7,151346.0,31.82,289.305,146.8,159.0,-4.9
2022-04-01,3.7,151651.0,31.96,290.846,147.5,160.6,
2022-05-01,3.6,151892.0,32.1,292.506,148.2,164.9,
2022-06-01,3.6,152353.0,32.2,294.68,148.5,166.7,-3.3
2022-07-01,3.5,153049.0,32.35,295.646,146.4,160.5,
2022-08-01,3.6,153286.0,32.44,297.178,144.6,158.3,
2022-09-01,3.5,153513.0,32.55,298.442,143.1,156.8,0.0
2022-10-01,3.6,153913.0,32.7,299.315,142.7,156.0,
2022-11-01,3.6,154210.0,32.84,299.6,141.6,155.4,
2022-12-01,3.5,154336.0,32.96,300.113,141.8,150.8,2.7
2023-01-01,3.5,154780.0,33.05,301.962,141.3,151.1,
2023-02-01,3.6,155086.0,33.16,304.011,141.0,151.7,
2023-03-01,3.5,155171.0,33.28,305.476,139.9,151.1,0.7
2023-04-01,3.4,155387.0,33.42,306.899,140.3,151.0,
2023-05-01,3.6,155614.0,33.52,308.096,139.7,147.9,
2023-06-01,3.6,155871.0,33.69,308.91,139.4,147.0,3.4
2023-07-01,3.5,156019.0,33.84,309.402,139.4,147.5,
2023-08-01,3.7,156176.0,33.89,310.103,140.3,149.2,
2023-09-01,3.8,156334.0,33.99,310.817,141.0,150.0,4.7
2023-10-01,3.9,156520.0,34.07,311.38,140.1,148.6,
2023-11-01,3.7,156661.0,34.19,311.606,139.4,147.5,
2023-12-01,3.8,156930.0,34.31,311.907,138.4,146.5,3.5
2024-01-01,3.7,157049.0,34.47,313.623,139.4,147.5,
2024-02-01,3.9,157271.0,34.54,315.419,139.7,148.6,
2024-03-01,3.9,157517.0,34.67,317.088,140.5,148.8,1.6
2024-04-01,3.9,157635.0,34.75,317.978,141.7,149.8,
2024-05-01,4.0,157828.0,34.89,318.629,141.5,148.8,
2024-06-01,4.1,157915.0,35.0,319.003,141.6,148.4,2.1
2024-07-01,4.2,158003.0,35.07,319.214,141.8,149.2,
2024-08-01,4.2,158074.0,35.23,320.017,141.4,148.2,
2024-09-01,4.1,158314.0,35.33,321.109,140.9,147.3,2.9
2024-10-01,4.1,158358.0,35.48,321.758,141.1,148.8,
2024-11-01,4.2,158619.0,35.61,321.947,141.3,148.8,
2024-12-01,4.1,158942.0,35.68,322.007,141.4,149.5,1.7
2025-01-01,4.0,159053.0,35.83,323.842,141.8,151.6,
2025-02-01,4.1,159155.0,35.9,325.252,142.1,152.6,
2025-03-01,4.2,159275.0,36.02,325.933,141.6,152.5,-1.8
2025-04-01,4.2,159433.0,36.08,326.815,141.7,152.6,
2025-05-01,4.2,159452.0,36.23,327.509,141.0,151.6,
2025-06-01,4.1,159439.0,36.31,328.364,140.8,152.3,3.3
2025-07-01,4.2,159511.0,36.43,328.98,141.2,152.8,
2025-08-01,4.3,159507.0,36.58,329.97,141.3,152.9,
2025-09-01,4.4,159626.0,36.67,330.804,141.3,152.9,
